ID,z1,z2,z3,z4,z5
Seq_1179,0.809,-0.118,-0.295,-0.429,0.145
Seq_1180,0.037,-0.268,-0.547,-0.422,0.004
Seq_1181,0.281,-0.274,-0.335,-0.215,0.321
Seq_1182,-0.265,-0.681,-0.141,-0.475,0.182
Seq_1183,0.096,-0.344,-0.449,-0.59,0.243
Seq_1184,0.277,-0.261,-0.244,-0.266,0.097
Seq_1185,-0.092,-0.159,-0.191,-0.286,0.114
Seq_1186,0.208,-0.213,-0.299,-0.523,0.013
Seq_1187,0.015,-0.254,-0.163,-0.333,-0.036
Seq_1188,0.034,-1.012,-0.353,-0.376,0.172
Seq_1189,0.118,-0.691,-0.276,-0.425,0.183
Seq_1190,-0.031,-0.9,-0.471,-0.399,0.299
Seq_1191,0.044,-0.739,-0.233,-0.423,0.203
Seq_1192,0.013,-0.497,-0.285,-0.28,0.246
Seq_1193,0.131,-0.359,-0.283,-0.422,0.226
Seq_1194,0.03,-0.485,-0.108,-0.228,0.038
Seq_1195,0.437,-0.168,-0.165,-0.317,0.071
Seq_1196,0.037,-0.602,-0.45,-0.491,0.226
Seq_1197,0.165,-0.559,-0.29,-0.412,0.16
Seq_1198,0.098,-0.742,-0.14,-0.454,0.096
Seq_1199,0.051,-0.418,-0.281,-0.411,0.044
Seq_1200,0.102,-0.418,-0.236,-0.464,0.123
Seq_1201,0.15,-0.119,-0.47,-0.447,-0.011
Seq_1202,0.361,-0.337,-0.053,-0.413,-0.122
Seq_1203,0.168,-0.207,-0.059,-0.316,0.044
Seq_1204,0.37,-0.412,-0.326,-0.395,0.156
Seq_1205,0.098,-0.34,-0.237,-0.334,0.125
Seq_1206,0.534,-0.438,-0.077,-0.081,0.064
Seq_1207,0.539,-0.676,-0.469,-0.273,0.173
Seq_1208,-0.027,-0.592,-0.158,-0.419,0.15
Seq_1209,0.128,-0.967,-0.306,-0.439,0.257
Seq_1210,-0.026,-0.82,-0.279,-0.347,0.297
Seq_1211,0.048,-0.616,-0.209,-0.401,0.134
Seq_1212,0.571,-0.637,0.335,-0.466,-0.079
Seq_1213,0.065,-0.807,-0.292,-0.439,0.238
Seq_1214,0.423,-0.597,-0.392,-0.793,0.172
Seq_1215,0.457,-0.619,-0.38,-0.602,0.118
Seq_1216,0.01,-0.833,-0.223,-0.525,0.085
Seq_1217,-0.082,-0.138,-0.355,-0.484,-0.012
Seq_1218,0.077,-0.721,-0.427,-0.652,0.072
Seq_1219,0.047,-0.456,-0.435,-0.515,0.089
Seq_1220,0.061,-0.482,-0.596,-0.316,0.176
Seq_1221,0.155,-0.852,-0.401,-0.52,0.189
Seq_1222,0.213,-0.506,-0.298,-0.499,0.134
Seq_1223,-0.521,-0.654,-0.298,-0.213,0.266
Seq_1224,0.048,-0.396,-0.409,-0.589,0.163
Seq_1225,0.056,-0.197,-0.199,-0.284,0.043
Seq_1226,0.14,-0.348,-0.262,-0.462,0.087
Seq_1227,-0.041,-0.411,-0.099,-0.254,0.094
Seq_1228,0.462,-0.53,-0.187,-0.47,0.023
Seq_1229,0.158,-0.495,-0.684,-0.071,0.134
Seq_1230,0.211,-0.541,-0.319,-0.534,0.062
Seq_1231,0.279,-0.665,-0.259,-0.401,0.047
Seq_1232,0.072,-0.403,-0.102,-0.265,0.232
Seq_1233,0.181,-0.366,-0.222,-0.434,0.079
Seq_1234,0.361,-0.267,-0.214,-0.432,0.098
Seq_1235,0.166,-0.61,-0.392,-0.592,0.127
Seq_1236,0.041,-0.562,-0.352,-0.329,0.054
Seq_1237,0.053,-0.698,-0.24,-0.594,0.201
Seq_1238,-0.046,-0.684,-0.365,-0.451,0.161
Seq_1239,-0.028,-0.29,-0.221,-0.278,0.178
Seq_1240,0.02,-0.65,-0.254,-0.355,0.171
Seq_1241,0.273,-0.434,-0.342,-0.533,0.06
Seq_1242,0.041,-0.715,-0.192,-0.538,0.094
Seq_1243,0.354,-0.385,-0.286,-0.46,0.182
Seq_1244,0.082,-0.745,-0.267,-0.599,0.126
Seq_1245,0.33,-0.608,-0.282,-0.603,0.164
Seq_1246,0.185,-0.492,-0.126,-0.274,0.163
Seq_1247,0.15,-0.936,-0.227,-0.537,0.13
Seq_1248,0.065,-0.584,-0.191,-0.341,0.032
Seq_1249,0.263,-0.791,-0.477,-0.622,0.235
Seq_1250,0.054,-0.659,-0.26,-0.441,0.06
Seq_1251,0.168,-0.937,-0.455,-0.54,0.214
Seq_1252,0.597,-0.455,-0.208,-0.808,0.048
Seq_1253,-0.042,-0.972,-0.286,-0.374,0.419
Seq_1254,0.074,-0.443,-0.379,-0.431,0.127
Seq_1255,-0.076,-0.484,-0.226,-0.496,0.099
Seq_1256,0.213,-0.498,-0.163,-0.416,0.055
Seq_1257,0.17,-0.83,-0.31,-0.641,0.188
Seq_1258,0.554,-0.856,-0.322,-0.601,0.102
Seq_1259,0.196,-0.532,-0.205,-0.648,0.105
Seq_1260,-0.099,-0.485,-0.228,-0.459,-0.002
Seq_1261,-0.056,-0.652,-0.221,-0.53,0.093
Seq_1262,0.187,-0.627,-0.181,-0.344,0.209
Seq_1263,0.24,-0.521,-0.105,-0.51,0.13
Seq_1264,0.129,-0.836,-0.339,-0.498,0.261
Seq_1265,0.149,-0.335,-0.129,-0.252,0.056
Seq_1266,0.109,-0.486,-0.397,-0.51,0.09
Seq_1267,0.247,-0.597,-0.096,-0.575,0.164
Seq_1268,0.237,-0.224,-0.176,-0.368,0.048
Seq_1269,0.004,-0.304,-0.166,-0.258,0.05
Seq_1270,-0.058,-0.563,-0.269,-0.495,0.154
Seq_1271,0.043,-0.47,-0.501,-0.404,0.257
Seq_1272,0.244,-0.515,-0.155,-0.525,0.117
Seq_1273,-0.046,-0.23,-0.631,-0.256,0.01
Seq_1274,0.048,-0.539,-0.154,-0.38,0.239
Seq_1275,0.03,-0.229,-0.39,-0.358,0.101
Seq_1276,0.029,-0.636,-0.242,-0.269,0.264
Seq_1277,0.106,-0.675,-0.189,-0.42,0.201
Seq_1278,0.107,-0.596,-0.263,-0.454,0.133
Seq_1279,0.137,-0.22,-0.745,-0.596,0.125
Seq_1280,0.588,-0.24,-0.327,-0.421,0.116
Seq_1281,0.205,-0.326,-0.364,-0.31,0.116
Seq_1282,0.165,-0.719,-0.243,-0.41,0.141
Seq_1283,0.031,-0.28,-0.344,-0.361,0.142
Seq_1284,-0.028,-0.472,-0.146,-0.352,0.208
Seq_1285,-0.064,-0.646,-0.139,-0.325,0.166
Seq_1286,-0.053,-0.556,-0.01,-0.358,0.148
Seq_1287,0.144,-0.404,-0.125,-0.595,-0.019
Seq_1288,-0.434,-0.359,-0.164,-0.326,-0.055
Seq_1289,0.357,-0.425,-0.348,-0.538,0.099
Seq_1290,0.149,-0.351,-0.661,-0.269,0.226
Seq_1291,0.563,-0.354,0.146,-0.355,-0.27
Seq_1292,0.217,-0.149,-0.154,-0.327,-0.013
Seq_1293,0.209,-0.613,-0.308,-0.479,0.222
Seq_1294,0.134,-0.728,-0.132,-0.583,0.04
Seq_1295,-0.201,-0.342,-0.346,-0.365,0.158
Seq_1296,0.071,-0.553,-0.214,-0.43,0.243
Seq_1297,0.016,-0.61,-0.206,-0.436,0.118
Seq_1298,0.066,-0.697,-0.172,-0.307,0.216
Seq_1299,0.107,-0.893,-0.257,-0.46,0.191
Seq_1300,0.359,-0.729,-0.256,-0.437,0.098
Seq_1301,0.142,-0.727,-0.243,-0.439,0.064
Seq_1302,0.134,-0.904,-0.227,-0.418,0.097
Seq_1303,0.053,-0.38,-0.352,-0.413,0.173
Seq_1304,0.345,-1.043,0.107,-0.554,0.072
Seq_1305,0.083,-0.522,-0.656,-0.682,0.169
Seq_1306,0.307,-0.576,-0.216,-0.329,0.2
Seq_1307,0.02,-0.856,-0.344,-0.51,0.077
Seq_1308,0.021,-0.819,-0.191,-0.523,0.242
Seq_1309,0.098,-0.386,-0.278,-0.363,0.187
Seq_1310,0.091,-0.425,-0.57,-0.256,0.198
Seq_1311,0.334,-0.526,-0.292,-0.682,0.192
Seq_1312,0.221,-0.93,-0.625,-0.442,0.192
Seq_1313,0.186,-0.583,-0.171,-0.407,0.231
Seq_1314,-0.125,-0.463,-0.151,-0.304,0.192
Seq_1315,0.592,-0.093,-1.19,-0.061,0.225
Seq_1316,0.136,-0.925,-0.366,-0.522,0.19
Seq_1317,0.122,-0.436,-0.285,-0.412,0.099
Seq_1318,0.299,-0.623,-0.06,-0.424,0.183
Seq_1319,0.188,-0.728,-0.387,-0.689,0.105
Seq_1320,-0.346,-0.144,-0.276,-0.444,0.099
Seq_1321,0.513,-0.417,-0.543,-0.316,0.113
Seq_1322,0.052,-0.536,-0.253,-0.405,0.091
Seq_1323,0.106,-0.364,-0.347,-0.318,0.163
Seq_1324,0.107,-0.251,-0.215,-0.322,0.144
Seq_1325,0.093,-0.623,-0.352,-0.448,0.135
Seq_1326,0.097,-0.992,-0.415,-0.466,0.159
Seq_1327,0.122,-0.741,-0.461,-0.53,0.205
Seq_1328,0.417,-0.501,0.195,-0.526,-0.152
Seq_1329,0.294,-0.291,-0.288,-0.55,-0.032
Seq_1330,0.068,-0.113,-0.322,-0.534,0.083
Seq_1331,0.031,-0.521,-0.197,-0.406,0.089
Seq_1332,-0.371,-0.521,-0.226,-0.339,0.054
Seq_1333,0.114,-0.346,-0.158,-0.363,0.023
Seq_1334,0.05,-0.619,-0.273,-0.33,0.147
Seq_1335,0.205,-0.301,-0.327,-0.43,0.12
Seq_1336,0.117,-0.737,-0.337,-0.506,0.161
Seq_1337,0.102,-0.464,-0.186,-0.328,0.061
Seq_1338,0.07,-0.486,-0.206,-0.357,0.214
Seq_1339,0.807,-0.186,-0.192,-0.647,0.131
Seq_1340,0.094,-0.853,-0.203,-0.426,0.186
Seq_1341,0.135,-0.432,-0.293,-0.402,0.113
Seq_1342,0.602,-0.222,-0.237,-0.378,0.125
Seq_1343,0.352,-0.496,-0.266,-0.354,0.157
Seq_1344,0.133,-0.292,-0.191,-0.233,0.097
Seq_1345,0.27,-0.528,-0.431,-0.455,0.169
Seq_1346,0.262,-0.426,-0.251,-0.594,0.058
Seq_1347,0.081,-0.454,-0.312,-0.451,0.063
Seq_1348,0.171,-0.639,-0.142,-0.333,0.142
Seq_1349,0.093,-0.562,-0.037,-0.476,0.008
Seq_1350,-0.112,-0.579,-0.285,-0.318,0.173
Seq_1351,0.434,-0.415,-0.801,-0.288,0.107
Seq_1352,0.182,-0.143,-0.186,-0.176,0.032
Seq_1353,0.186,-0.493,-0.292,-0.464,0.153
Seq_1354,0.134,-0.301,-0.162,-0.44,0.082
Seq_1355,0.053,-0.707,-0.251,-0.438,0.123
Seq_1356,0.093,-0.377,-0.129,-0.257,0.103
Seq_1357,0.185,-0.518,-0.148,-0.374,0.018
Seq_1358,0.11,-0.483,-0.221,-0.404,0.117
Seq_1359,0.177,-0.52,-0.31,-0.449,0.187
Seq_1360,0.193,-0.33,-0.36,-0.447,0.081
Seq_1361,0.399,-0.04,-0.207,0.176,-0.202
Seq_1362,0.044,-0.486,-0.42,-0.335,0.165
Seq_1363,0.635,-0.537,-0.325,-0.61,0.362
Seq_1364,-0.086,-0.14,-0.257,-0.403,0.136
Seq_1365,-0.029,-0.204,-0.462,-0.302,-0.001
Seq_1366,0.09,-0.837,-0.142,-0.412,0.129
Seq_1367,-0.011,-0.626,-0.111,-0.525,0.132
Seq_1368,0.287,-0.675,-0.233,-0.537,0.121
Seq_1369,0.042,-0.677,-0.305,-0.477,0.148
Seq_1370,0.403,-0.752,0.038,-0.395,-0.214
Seq_1371,-0.141,-0.693,-0.281,-0.7,0.014
Seq_1372,0.122,-0.426,-0.45,-0.408,0.114
Seq_1373,0.264,-0.173,-0.289,-0.19,0.227
Seq_1374,-0.595,-0.621,-0.167,-0.385,-0.0
Seq_1375,0.3,-0.374,-0.113,-0.545,-0.049
Seq_1376,0.34,-0.48,-0.301,-0.378,0.137
Seq_1377,-0.127,-0.547,-0.312,-0.372,0.126
Seq_1378,0.148,-0.625,-0.15,-0.422,-0.0
Seq_1379,0.714,-0.605,-0.19,-0.68,0.224
Seq_1380,0.248,-0.537,-0.366,-0.5,-0.004
Seq_1381,-0.605,-0.513,-0.107,-0.246,0.049
Seq_1382,0.012,-0.6,-0.226,-0.443,0.012
Seq_1383,0.196,-0.683,-0.294,-0.411,0.134
Seq_1384,0.043,-0.498,-0.211,-0.399,0.089
Seq_1385,0.063,-0.758,-0.594,-0.745,0.149
Seq_1386,0.477,-0.244,-0.174,-0.236,0.131
Seq_1387,-0.007,-0.577,-0.235,-0.313,0.218
Seq_1388,0.442,-0.348,-0.092,-0.309,0.095
Seq_1389,-0.011,-0.365,-0.481,-0.38,0.125
Seq_1390,0.362,-0.293,-0.443,-0.484,0.124
Seq_1391,0.377,-0.532,-0.55,-0.157,0.133
Seq_1392,0.349,-0.514,-0.252,-0.435,0.208
Seq_1393,0.095,-0.936,-0.354,-0.513,0.195
Seq_1394,0.296,-0.822,0.012,-0.269,0.098
Seq_1395,0.023,-0.587,-0.276,-0.538,0.202
Seq_1396,0.35,-0.643,0.122,-0.327,0.134
Seq_1397,-0.087,-0.543,-0.163,-0.47,-0.027
Seq_1398,0.031,-0.755,-0.21,-0.399,0.198
Seq_1399,0.082,-0.29,-0.333,-0.408,0.128
Seq_1400,-0.17,-0.614,0.129,-0.416,-0.058
Seq_1401,0.092,-0.561,-0.259,-0.469,0.068
Seq_1402,0.162,-0.307,-0.333,-0.358,0.126
Seq_1403,-0.06,-0.727,-0.266,-0.45,0.23
Seq_1404,0.498,-0.188,-0.461,-0.675,0.041
Seq_1405,0.187,-0.486,-0.325,-0.606,0.054
Seq_1406,0.247,-0.426,-0.176,-0.493,0.066
Seq_1407,0.023,-0.456,-0.39,-0.424,-0.039
Seq_1408,0.146,-0.53,-0.326,-0.37,0.181
Seq_1409,0.053,-0.546,-0.273,-0.309,0.122
Seq_1410,-0.059,-0.243,-0.288,-0.376,0.067
Seq_1411,0.201,-0.467,-0.265,-0.386,0.098
Seq_1412,0.646,-0.354,0.474,-0.344,-0.328
Seq_1413,0.124,-0.702,-0.409,-0.578,0.201
Seq_1414,0.185,-0.716,-0.135,-0.623,-0.028
Seq_1415,0.681,-0.227,-0.331,-0.556,0.192
Seq_1416,0.294,-0.416,-0.159,-0.48,-0.088
Seq_1417,0.265,-0.332,-0.252,-0.565,0.029
Seq_1418,-0.003,-0.277,-0.193,-0.344,0.107
Seq_1419,0.075,-0.604,-0.467,-0.489,0.257
Seq_1420,0.319,-0.589,-0.366,-0.599,-0.01
Seq_1421,0.091,-0.286,-0.102,-0.419,-0.009
Seq_1422,0.051,-0.75,-0.441,-0.469,0.088
Seq_1423,0.196,-0.672,-0.23,-0.334,0.142
Seq_1424,-0.03,-0.738,-0.315,-0.529,0.132
Seq_1425,0.383,-0.985,-0.235,-0.461,0.116
Seq_1426,-1.17,-1.052,-0.25,-0.564,0.194
Seq_1427,0.142,-0.415,-0.291,-0.454,0.178
Seq_1428,0.131,-0.109,-0.219,-0.574,-0.117
Seq_1429,0.176,-0.701,-0.326,-0.446,0.152
Seq_1430,0.251,-0.51,-0.026,-0.307,0.319
Seq_1431,0.034,-0.518,-0.288,-0.471,0.03
Seq_1432,0.309,-0.422,-0.388,-0.434,0.17
Seq_1433,0.386,-0.443,-0.106,-0.361,0.252
Seq_1434,0.216,-0.4,-0.15,-0.541,0.049
Seq_1435,0.104,-0.305,-0.275,-0.266,0.135
Seq_1436,0.235,-0.819,-0.254,-0.619,0.215
Seq_1437,0.166,-0.78,-0.297,-0.552,0.127
Seq_1438,0.887,-0.348,-0.223,-0.524,0.14
Seq_1439,0.221,-0.242,-0.331,-0.372,0.053
Seq_1440,0.779,-0.663,-0.602,-0.334,0.255
Seq_1441,0.444,-0.271,-0.643,-0.237,0.143
Seq_1442,0.107,-0.26,-0.264,-0.369,0.1
Seq_1443,0.238,-0.34,-0.148,-0.316,0.056
Seq_1444,0.1,-0.455,-0.336,-0.418,0.198
Seq_1445,0.106,-0.442,-0.468,-0.493,0.113
Seq_1446,-0.118,-0.621,-0.392,-0.508,0.107
Seq_1447,0.563,-0.481,-0.588,-0.179,0.243
Seq_1448,0.45,-0.039,-0.473,-0.217,-0.162
Seq_1449,-0.006,-0.681,-0.126,-0.411,-0.028
Seq_1450,-0.064,-0.544,-0.327,-0.43,0.152
Seq_1451,0.258,-0.346,-0.206,-0.447,-0.047
Seq_1452,-0.211,-0.415,-0.522,-0.756,0.083
Seq_1453,0.051,-0.618,-0.117,-0.28,0.191
Seq_1454,-0.081,-0.573,-0.275,-0.425,0.077
Seq_1455,-0.085,-0.592,-0.331,-0.422,0.211
Seq_1456,-0.255,-0.441,-0.2,-0.519,0.101
Seq_1457,0.208,-0.423,0.121,-0.418,0.151
Seq_1458,0.207,-0.901,-0.18,-0.524,0.23
Seq_1459,0.14,-0.376,-0.12,-0.423,0.093
Seq_1460,0.101,-0.322,-0.297,-0.23,0.132
Seq_1461,0.11,-0.424,-0.404,-0.615,0.09
Seq_1462,0.379,-0.513,-0.188,-0.37,0.168
Seq_1463,0.114,-0.313,-0.236,-0.45,0.03
Seq_1464,0.406,-0.442,-0.667,-0.49,0.255
Seq_1465,0.169,-0.997,-0.418,-0.518,0.272
Seq_1466,0.272,-0.912,-0.232,-0.527,0.157
Seq_1467,0.127,-0.766,-0.122,-0.418,0.185
Seq_1468,0.443,-0.495,-0.246,-0.448,0.238
Seq_1469,0.152,-0.383,-0.449,-0.537,0.188
Seq_1470,0.119,-0.705,-0.366,-0.526,0.067
Seq_1471,0.123,-0.614,-0.271,-0.574,0.151
Seq_1472,0.223,-0.664,-0.42,-0.486,0.086
Seq_1473,0.243,-0.206,-0.164,-0.195,-0.063
Seq_1474,-0.037,-0.613,-0.369,-0.375,0.266
Seq_1475,0.5,-0.142,-0.278,-0.407,0.006
Seq_1476,0.558,-0.285,-0.374,-0.246,0.105
Seq_1477,-0.11,-0.39,-0.181,-0.484,0.08
Seq_1478,-0.083,-0.608,-0.321,-0.397,0.285
Seq_1479,1.093,-0.063,-0.388,-0.058,-0.139
Seq_1480,-0.047,-0.466,-0.149,-0.476,0.065
Seq_1481,1.018,-0.01,-0.581,-0.243,0.194
Seq_1482,0.271,-0.806,-0.034,-0.563,0.0
Seq_1483,0.227,-0.531,-0.345,-0.375,0.166
Seq_1484,-0.253,-0.324,-0.39,-0.186,0.193
Seq_1485,-0.12,-0.422,-0.242,-0.299,0.095
Seq_1486,0.075,-0.894,-0.444,-0.556,0.127
Seq_1487,-0.047,-0.423,-0.207,-0.419,0.157
Seq_1488,0.147,-0.567,-0.291,-0.434,0.204
Seq_1489,0.016,-0.248,-0.525,-0.39,0.084
Seq_1490,0.092,-0.616,-0.35,-0.399,0.126
Seq_1491,-0.032,-0.398,-0.158,-0.261,0.004
Seq_1492,0.106,-0.466,-0.44,-0.516,0.082
Seq_1493,0.213,-0.539,-0.186,-0.571,0.076
Seq_1494,0.039,-0.073,-0.4,-0.264,0.04
Seq_1495,0.089,-0.74,0.052,-0.525,0.031
Seq_1496,0.026,-0.169,-0.107,-0.254,-0.015
Seq_1497,0.265,-0.772,-0.269,-0.519,0.158
Seq_1498,-0.007,-0.415,-0.246,-0.493,0.109
Seq_1499,0.191,-0.405,-0.1,-0.431,0.127
Seq_1500,0.022,-0.467,-0.133,-0.364,0.172
Seq_1501,1.077,-0.249,-0.503,-0.412,0.078
Seq_1502,0.128,-0.979,-0.034,-0.51,0.149
Seq_1503,0.219,-0.51,-0.177,-0.393,0.184
Seq_1504,-0.21,-0.385,-0.429,-0.363,0.155
Seq_1505,0.186,-0.648,-0.423,-0.643,0.105
Seq_1506,0.039,-0.454,-0.354,-0.329,0.272
Seq_1507,0.386,-0.349,-0.574,-0.587,0.262
Seq_1508,0.114,-0.398,-0.236,-0.428,0.1
Seq_1509,0.072,-0.563,-0.344,-0.515,0.2
Seq_1510,0.122,-0.523,-0.094,-0.405,0.107
Seq_1511,0.154,-0.857,-0.218,-0.297,0.292
Seq_1512,0.177,-0.287,-0.233,-0.39,0.094
Seq_1513,0.556,-0.276,-0.529,-0.242,0.041
Seq_1514,0.398,-0.475,-0.243,-0.566,0.155
Seq_1515,-0.308,-0.453,-0.297,-0.43,0.158
Seq_1516,0.257,-0.63,-0.215,-0.509,0.189
Seq_1517,0.288,-0.495,-0.307,-0.242,0.267
Seq_1518,0.104,-0.538,-0.311,-0.409,0.055
Seq_1519,0.33,-0.181,-0.425,-0.562,0.049
Seq_1520,0.085,-0.516,-0.116,-0.43,0.172
Seq_1521,0.479,-0.995,-0.139,-0.443,0.282
Seq_1522,0.028,-0.284,-0.224,-0.333,0.119
Seq_1523,-0.002,-0.659,-0.409,-0.59,0.181
Seq_1524,0.058,-0.144,-0.313,-0.569,-0.179
Seq_1525,0.03,-0.378,-0.44,-0.421,-0.001
Seq_1526,-0.071,-0.456,-0.212,-0.396,0.218
Seq_1527,-0.069,-0.415,-0.264,-0.406,0.196
Seq_1528,0.626,-0.17,-0.624,-0.58,0.097
Seq_1529,0.428,-0.621,-0.008,-0.612,0.058
Seq_1530,0.148,-0.796,-0.515,-0.354,0.151
Seq_1531,-0.0,-0.301,-0.728,-0.625,0.149
Seq_1532,0.233,-0.278,-0.725,-0.153,-0.011
Seq_1533,-0.032,-0.293,-0.3,-0.399,0.061
Seq_1534,-0.312,-0.269,-0.479,-0.392,0.031
Seq_1535,-0.034,-0.482,-0.112,-0.36,0.196
Seq_1536,0.032,-0.564,-0.295,-0.399,0.274
Seq_1537,0.172,-0.695,-0.256,-0.434,0.16
Seq_1538,-0.028,-0.363,-0.228,-0.352,0.048
Seq_1539,-0.253,-0.313,-0.098,-0.252,0.196
Seq_1540,0.213,-0.848,-0.303,-0.696,0.13
Seq_1541,0.141,-0.346,-0.07,-0.22,0.05
Seq_1542,0.016,-0.245,-0.417,-0.478,0.088
Seq_1543,0.23,-0.523,-0.306,-0.472,0.056
Seq_1544,0.541,-0.297,-0.421,-0.503,0.054
Seq_1545,-0.0,-0.696,-0.29,-0.512,0.091
Seq_1546,0.508,-0.396,-0.607,-0.55,0.247
Seq_1547,0.115,-0.639,-0.381,-0.489,0.304
Seq_1548,0.213,-0.811,-0.171,-0.444,0.29
Seq_1549,-0.167,-0.294,-0.08,-0.279,0.205
Seq_1550,-0.073,-0.306,-0.221,-0.353,0.06
Seq_1551,-0.046,-0.763,-0.392,-0.343,0.255
Seq_1552,0.173,-0.509,-0.415,-0.46,0.18
Seq_1553,-0.109,-0.233,-0.239,-0.344,-0.019
Seq_1554,0.31,-0.422,-0.227,-0.582,0.082
Seq_1555,0.112,-0.502,-0.221,-0.375,0.124
Seq_1556,0.054,-0.893,-0.42,-0.35,0.384
Seq_1557,-0.103,-0.396,-0.334,-0.47,0.115
Seq_1558,0.355,-0.673,-0.078,-0.188,0.249
Seq_1559,0.017,-0.67,-0.151,-0.319,0.29
Seq_1560,0.476,-0.446,-0.644,-0.255,0.072
Seq_1561,0.234,-0.769,-0.321,-0.634,0.127
Seq_1562,0.172,-0.288,-0.484,-0.395,0.107
Seq_1563,-0.094,-0.312,0.033,-0.267,-0.014
Seq_1564,0.061,-0.502,-0.214,-0.385,0.126
Seq_1565,0.096,-0.666,-0.329,-0.405,0.232
Seq_1566,0.281,-0.596,0.513,-0.475,0.037
Seq_1567,0.168,-0.488,-0.252,-0.461,0.151
Seq_1568,-0.003,-0.691,-0.343,-0.316,0.112
Seq_1569,-0.068,-0.574,-0.208,-0.333,0.338
Seq_1570,-0.157,-0.235,-0.244,-0.258,0.143
Seq_1571,-0.078,-0.393,-0.233,-0.236,0.29
Seq_1572,-0.024,-0.291,-0.152,-0.366,0.128
Seq_1573,-0.006,-0.606,-0.413,-0.508,0.113
Seq_1574,0.26,-0.361,-0.295,-0.46,-0.033
Seq_1575,0.246,-0.588,-0.22,-0.462,0.14
Seq_1576,0.287,-0.208,-0.556,-0.589,0.033
Seq_1577,-0.005,-0.661,-0.261,-0.189,0.233
Seq_1578,0.079,-0.352,-0.483,-0.527,0.168
Seq_1579,-0.103,-0.778,-0.487,-0.471,0.109
Seq_1580,0.027,-0.523,-0.321,-0.462,0.195
Seq_1581,0.227,-0.325,-0.16,-0.358,0.228
Seq_1582,-0.592,-0.826,-0.453,-0.47,0.252
Seq_1583,0.493,-0.21,-0.414,-0.55,0.127
Seq_1584,0.212,-0.726,-0.007,-0.557,0.127
Seq_1585,0.47,-0.31,-0.217,-0.549,0.11
Seq_1586,1.07,0.381,-1.431,0.838,0.042
Seq_1587,0.142,-0.92,-0.5,-0.554,0.313
Seq_1588,0.191,-0.62,-0.393,-0.5,0.096
Seq_1589,-0.054,-0.443,-0.063,-0.298,0.222
Seq_1590,0.141,-0.575,-0.21,-0.434,0.135
Seq_1591,0.201,-0.893,-0.174,-0.518,0.214
Seq_1592,-0.033,-0.528,-0.065,-0.414,0.132
Seq_1593,0.196,-0.151,-0.792,-0.162,0.09
Seq_1594,-0.925,-0.52,-0.175,-0.128,0.105
Seq_1595,0.12,-0.598,-0.265,-0.535,0.089
Seq_1596,0.035,-0.596,-0.49,-0.474,0.127
Seq_1597,0.029,-0.386,-0.319,-0.301,0.202
Seq_1598,0.162,-0.344,-0.448,-0.41,0.117
Seq_1599,-0.142,-0.601,-0.282,-0.567,0.15
Seq_1600,0.337,-0.262,-0.255,-0.328,0.047
Seq_1601,0.107,-0.528,-0.106,-0.437,0.086
Seq_1602,0.12,-0.451,-0.093,-0.302,0.233
Seq_1603,0.155,-0.61,-0.335,-0.418,0.126
Seq_1604,0.365,-0.3,-0.22,-0.437,0.115
Seq_1605,0.163,-0.594,-0.195,-0.387,0.138
Seq_1606,0.194,-0.179,-0.28,-0.285,0.274
Seq_1607,0.115,-0.546,-0.339,-0.491,0.15
Seq_1608,-0.105,-0.577,-0.236,-0.417,0.299
Seq_1609,-0.039,-0.628,-0.277,-0.488,0.102
Seq_1610,0.486,-0.392,-0.285,-0.324,0.165
Seq_1611,0.111,-0.636,-0.286,-0.557,0.122
Seq_1612,0.178,-0.537,-0.175,-0.462,0.141
Seq_1613,0.568,-0.359,-0.286,-0.45,0.195
Seq_1614,-0.151,-0.423,-0.14,-0.233,0.106
Seq_1615,0.521,-0.466,-0.228,-0.79,0.085
Seq_1616,0.226,-0.988,-0.37,-0.538,0.104
Seq_1617,0.055,-0.604,-0.321,-0.33,0.055
Seq_1618,0.046,-0.406,-0.291,-0.434,0.143
Seq_1619,0.318,-0.439,-0.087,-0.321,0.258
Seq_1620,-0.116,-0.396,-0.287,-0.281,0.162
Seq_1621,0.226,-0.656,-0.202,-0.469,0.19
Seq_1622,0.235,-0.491,-0.297,-0.458,0.087
Seq_1623,0.129,-0.301,-0.337,-0.532,0.098
Seq_1624,0.006,-0.489,-0.255,-0.274,0.071
Seq_1625,-1.061,-1.332,-0.276,-0.47,0.201
Seq_1626,0.131,-0.525,-0.064,-0.569,0.058
Seq_1627,0.14,-0.621,-0.229,-0.534,0.177
Seq_1628,0.232,-0.893,-0.412,-0.375,0.218
Seq_1629,0.547,-0.191,-0.444,-0.283,0.18
Seq_1630,0.605,-0.334,0.435,-0.439,-0.263
Seq_1631,0.377,-0.391,-0.443,-0.492,0.181
Seq_1632,0.226,-0.766,-0.048,-0.526,0.064
Seq_1633,-0.12,-0.615,-0.525,-0.487,0.207
Seq_1634,0.277,-0.234,-0.349,-0.306,0.204
Seq_1635,0.118,-0.286,-0.328,-0.459,0.065
Seq_1636,0.509,-0.526,-0.411,-0.612,0.209
Seq_1637,0.269,-0.634,-0.267,-0.396,-0.003
Seq_1638,0.102,-0.452,-0.377,-0.486,0.167
Seq_1639,-0.041,-0.317,-0.342,-0.428,0.076
Seq_1640,0.405,-0.592,-0.347,-0.595,0.125
