Secondary Structure(Helix),Solvent Accessibilty (Buried),Solvent Accesibilty(Intermediate),[G4.3.22.3],[G7.1.1.50],[G5.2.2.12],[G4.3.10.4],[G2.1.1.169],[G4.3.11.2],[G2.1.1.339],[G2.1.1.211],[G2.1.1.178],[Class]
0.401,0.453,0.273,2.5,-4.63E-04,0.001623,25,1.265823,2.5,0,0,0,nonDRNA
0.403,0.453,0.263,2.5,0.003848,0.001058,25,1.265823,2.5,0,0,0,nonDRNA
0.403,0.449,0.263,2.5,4.07E-04,5.09E-04,22.5,0,2.5,0,0,0,nonDRNA
0.594,0.479,0.206,2.5,2.73E-04,5.68E-04,27.5,0,2.5,0,0,0,nonDRNA
0.443,0.446,0.236,2.5,0.001211,0.001918,23.75,1.265823,2.5,0,0,0,nonDRNA
0.408,0.437,0.268,2.5,0.009232,3.07E-04,18.75,0,2.5,0,0,0,nonDRNA
0.437,0.444,0.245,2.5,-0.005891,0.001331,31.25,0,2.5,0,1.265823,0,nonDRNA
0.455,0.435,0.216,2.5,0.001259,0.001716,20,1.265823,2.5,0,0,1.265823,nonDRNA
0.431,0.388,0.281,2.5,0.015289,0.001393,20,1.265823,2.5,0,0,1.265823,nonDRNA
0.426,0.468,0.246,2.5,0.001519,0.002391,30,1.265823,2.5,0,0,1.265823,nonDRNA
0.483,0.454,0.22,2.5,-6.74E-04,0.001421,28.75,0,2.5,0,0,0,nonDRNA
0.43,0.404,0.256,2.5,-0.008816,8.79E-04,17.5,0,2.5,1.265823,0,1.265823,nonDRNA
0.463,0.515,0.224,2.5,-0.003637,0.001655,30,0,2.5,0,0,1.265823,nonDRNA
0.455,0.395,0.246,2.5,-6.15E-04,0.001158,28.75,0,2.5,0,0,0,nonDRNA
0.388,0.439,0.173,2.5,0.001953,0.001873,26.25,0,2.5,0,0,1.265823,nonDRNA
0.445,0.515,0.237,2.5,0.009142,0.001268,23.75,0,2.5,0,0,0,nonDRNA
0.438,0.358,0.274,2.5,0.002657,0.001618,27.5,1.265823,2.5,0,0,1.265823,nonDRNA
0.529,0.502,0.167,2.5,0.009968,0.002646,18.75,2.531646,2.5,1.265823,0,0,nonDRNA
0.341,0.37,0.273,2.5,-0.008315,0.002869,23.75,1.265823,2.5,0,0,0,nonDRNA
0.479,0.446,0.145,2.5,-0.007595,0.003476,23.75,1.265823,2.5,0,0,1.265823,nonDRNA
0.562,0.512,0.169,2.5,0.001433,0.001039,20,0,2.5,0,0,0,nonDRNA
0.443,0.481,0.267,2.5,0.004992,6.41E-04,25,0,2.5,0,0,0,nonDRNA
0.47,0.44,0.235,2.5,-0.002381,0.001821,25,1.265823,2.5,0,0,0,nonDRNA
0.376,0.6,0.239,2.5,0.001753,0.001604,35,0,2.5,0,0,0,nonDRNA
0.474,0.43,0.225,2.5,0.003274,0.002531,27.5,0,2.5,0,0,2.531646,nonDRNA
0.464,0.455,0.228,2.5,0.003956,0.001028,37.5,0,2.5,0,0,0,nonDRNA
0.473,0.429,0.234,2.5,0.00408,0.001461,31.25,1.265823,2.5,0,0,1.265823,nonDRNA
0.399,0.417,0.257,2.5,-9.17E-04,0.001604,32.5,0,2.5,0,0,1.265823,nonDRNA
0.449,0.426,0.214,2.5,0.010575,0.001737,25,1.265823,2.5,0,0,0,nonDRNA
0.379,0.439,0.213,2.5,0.009984,0.001939,33.75,1.265823,2.5,0,0,1.265823,nonDRNA
0.421,0.433,0.201,2.5,0.005683,0.00299,23.75,2.531646,2.5,0,0,0,nonDRNA
0.492,0.556,0.19,2.5,-0.001036,5.95E-04,26.25,0,2.5,0,0,1.265823,nonDRNA
0.372,0.38,0.278,2.5,-0.009206,0.002061,18.75,1.265823,2.5,0,0,0,nonDRNA
0.542,0.447,0.216,2.5,0.007076,0.002644,22.5,0,2.5,0,0,0,nonDRNA
0.468,0.44,0.184,2.5,0.002403,2.75E-04,26.25,0,2.5,0,0,0,nonDRNA
0.438,0.479,0.205,2.739726,-0.014062,0.001064,24.657534,1.388889,2.739726,0,0,0,nonDRNA
0.472,0.436,0.212,2.5,-7.62E-04,0.001706,38.75,1.265823,2.5,0,0,1.265823,nonDRNA
0.411,0.417,0.246,2.5,0.009039,0.003062,30,1.265823,2.5,0,0,0,nonDRNA
0.474,0.481,0.231,2.5,-0.001523,0.001688,16.25,0,2.5,0,0,0,nonDRNA
0.457,0.433,0.242,2.5,0.002071,0.001482,25,0,2.5,0,0,1.265823,nonDRNA
0.364,0.411,0.262,2.5,-1.02E-04,0.002787,21.25,0,2.5,0,0,0,nonDRNA
0.476,0.483,0.199,2.5,0.004275,0.003118,28.75,0,2.5,0,0,2.531646,nonDRNA
0.48,0.392,0.268,2.5,-0.00242,0.001647,17.5,0,2.5,0,0,0,nonDRNA
0.431,0.446,0.244,2.5,-0.001744,0.00116,35,0,2.5,0,0,0,nonDRNA
0.428,0.476,0.224,2.5,-5.56E-04,0.001273,22.5,1.265823,2.5,0,0,0,nonDRNA
0.395,0.41,0.252,2.5,0.005092,0.001851,31.25,1.265823,2.5,0,0,0,nonDRNA
0.402,0.404,0.251,2.5,0.005901,0.001603,31.25,0,2.5,0,0,0,nonDRNA
0.398,0.415,0.243,2.5,0.004456,0.001887,27.5,0,2.5,0,0,0,nonDRNA
0.401,0.402,0.258,2.5,0.005868,0.001607,31.25,0,2.5,0,0,0,nonDRNA
0.4,0.406,0.245,2.5,0.005934,0.001618,31.25,0,2.5,0,0,0,nonDRNA
0.387,0.413,0.255,2.5,0.006055,0.00163,31.25,0,2.5,0,0,0,nonDRNA
0.474,0.48,0.212,2.5,-0.005447,8.65E-04,26.25,0,2.5,0,0,0,nonDRNA
0.528,0.509,0.208,2.5,-0.006218,0.001884,16.25,1.265823,2.5,0,0,0,nonDRNA
0.416,0.425,0.283,2.5,0.007936,0.002935,22.5,2.531646,2.5,0,0,0,nonDRNA
0.503,0.46,0.212,2.5,0.004009,0.002079,23.75,1.265823,2.5,0,0,0,nonDRNA
0.517,0.464,0.104,2.5,0.002042,0.004163,32.5,5.063291,2.5,0,0,1.265823,nonDRNA
0.397,0.447,0.238,2.5,-0.008591,0.002685,25,3.797468,2.5,0,0,0,nonDRNA
0.401,0.518,0.161,2.5,-0.003579,0.001866,21.25,1.265823,2.5,0,0,0,nonDRNA
0.462,0.389,0.234,2.5,0.010889,0.001448,32.5,0,2.5,0,0,0,nonDRNA
0.465,0.498,0.171,2.5,0.006266,0.002578,18.75,0,2.5,0,0,1.265823,nonDRNA
0.443,0.482,0.223,2.5,0.013571,0.001069,16.25,0,2.5,0,0,0,nonDRNA
0.496,0.432,0.23,2.5,0.009021,0.003374,20,1.265823,2.5,0,0,1.265823,nonDRNA
0.369,0.279,0.328,2.5,-0.001842,0.001969,20,1.265823,2.5,0,0,0,nonDRNA
0.446,0.346,0.297,2.5,-0.010657,0.001238,31.25,0,2.5,0,0,1.265823,nonDRNA
0.42,0.407,0.281,2.5,0.003204,3.12E-04,12.5,0,2.5,0,0,0,nonDRNA
0.439,0.414,0.274,2.5,-0.001488,0.001042,43.75,0,2.5,0,0,0,nonDRNA
0.454,0.327,0.259,2.5,-0.001318,0.001133,10,0,2.5,0,0,1.265823,nonDRNA
0.452,0.434,0.259,2.5,-0.014284,0.001685,26.25,0,2.5,0,0,0,nonDRNA
0.388,0.438,0.237,2.5,0.004912,7.95E-04,22.5,0,2.5,0,0,0,nonDRNA
0.412,0.471,0.208,2.5,0.001285,8.20E-04,18.75,0,2.5,2.531646,0,0,nonDRNA
0.461,0.493,0.237,2.5,0.00384,2.96E-04,23.75,0,2.5,0,0,0,nonDRNA
0.448,0.399,0.265,2.5,0.002019,0.001276,30,0,2.5,0,0,0,nonDRNA
0.406,0.504,0.262,2.5,0.001631,9.98E-04,22.5,0,2.5,0,0,0,nonDRNA
0.461,0.507,0.224,2.5,-2.37E-04,0.002321,22.5,0,2.5,0,0,1.265823,nonDRNA
0.502,0.456,0.21,2.5,0.003483,0.001521,12.5,0,2.5,0,0,0,nonDRNA
0.515,0.461,0.209,2.5,0.011573,9.95E-04,32.5,0,2.5,0,0,1.265823,nonDRNA
0.461,0.393,0.242,2.5,-0.008875,0.002678,18.75,2.531646,2.5,0,0,0,nonDRNA
0.462,0.437,0.215,2.5,-0.008451,0.001543,37.5,0,2.5,0,0,0,nonDRNA
0.502,0.355,0.231,2.5,-0.006393,0.002229,16.25,0,2.5,0,0,0,nonDRNA
0.458,0.407,0.238,2.5,0.00106,0.001036,22.5,1.265823,2.5,0,0,1.265823,nonDRNA
0.497,0.376,0.26,2.5,0.006411,0.001649,22.5,0,2.5,0,0,0,nonDRNA
0.377,0.466,0.24,2.5,-0.005153,0.00117,28.75,0,2.5,0,0,0,nonDRNA
0.44,0.485,0.216,2.5,0.001439,0.003503,23.75,5.063291,2.5,0,1.265823,0,nonDRNA
0.465,0.412,0.208,2.5,0.008523,0.002647,26.25,2.531646,2.5,0,0,0,nonDRNA
0.466,0.395,0.227,2.5,0.001627,0.002174,25,1.265823,2.5,0,0,0,nonDRNA
0.436,0.484,0.194,2.5,-0.006163,0.002456,27.5,0,2.5,0,0,0,nonDRNA
0.424,0.488,0.256,2.5,-0.007112,0.002009,27.5,1.265823,2.5,0,0,1.265823,nonDRNA
0.548,0.516,0.183,2.5,-6.73E-04,9.40E-04,16.25,0,2.5,0,0,0,nonDRNA
0.46,0.485,0.198,2.5,-0.002045,0.00132,21.25,0,2.5,0,0,1.265823,nonDRNA
0.521,0.493,0.197,2.816901,-0.00962,0.001129,29.577465,1.428571,2.816901,0,0,0,nonDRNA
0.401,0.422,0.229,2.5,0.003328,2.81E-04,30,0,2.5,0,0,0,nonDRNA
0.486,0.449,0.196,2.5,0.006516,8.67E-04,32.5,0,2.5,0,0,0,nonDRNA
0.341,0.469,0.24,2.5,0.008839,4.85E-04,25,0,2.5,0,0,0,nonDRNA
0.486,0.452,0.216,2.5,0.010885,0.001617,26.25,0,2.5,0,0,0,nonDRNA
0.428,0.437,0.25,2.5,0.015462,0.002278,23.75,0,2.5,0,0,0,nonDRNA
0.466,0.451,0.205,2.5,-0.002674,0.00402,32.5,5.063291,2.5,0,0,0,nonDRNA
0.489,0.398,0.256,2.5,0.007805,0.001403,12.5,0,2.5,0,0,0,nonDRNA
0.361,0.422,0.272,2.5,0.00333,0.001887,23.75,0,2.5,0,0,1.265823,nonDRNA
0.425,0.45,0.21,2.5,0.010387,0.001595,32.5,1.265823,2.5,0,0,1.265823,nonDRNA
0.466,0.372,0.307,2.5,0.00246,0.002199,20,2.531646,2.5,0,0,0,nonDRNA
0.393,0.405,0.276,2.5,2.07E-04,3.05E-04,37.5,0,2.5,0,0,1.265823,nonDRNA
0.488,0.455,0.202,2.5,0.014571,0.0013,25,0,2.5,0,0,0,nonDRNA
0.444,0.444,0.254,2.5,-4.89E-04,0.001705,21.25,0,2.5,0,0,2.531646,nonDRNA
0.5,0.359,0.307,2.5,-0.00484,0.002529,25,1.265823,2.5,1.265823,0,0,nonDRNA
0.448,0.493,0.267,2.5,0.006877,3.02E-04,23.75,0,2.5,0,0,0,nonDRNA
0.458,0.455,0.214,2.5,0.006268,0.001166,31.25,0,2.5,0,0,0,nonDRNA
0.452,0.454,0.226,2.5,0.001252,0.001307,23.75,0,2.5,0,0,2.531646,nonDRNA
0.483,0.473,0.238,2.5,-0.001913,0,33.75,0,2.5,0,0,0,nonDRNA
0.484,0.34,0.326,2.5,-3.95E-04,0.004142,27.5,1.265823,2.5,0,0,1.265823,nonDRNA
0.505,0.475,0.238,2.5,0.006643,0.001303,27.5,0,2.5,0,0,1.265823,nonDRNA
0.415,0.439,0.272,2.5,-0.002474,9.78E-04,26.25,0,2.5,1.265823,0,0,nonDRNA
0.457,0.392,0.269,2.5,-0.003338,0.002128,17.5,0,2.5,0,1.265823,0,nonDRNA
0.451,0.381,0.287,2.5,-0.0037,0.001641,20,0,2.5,0,1.265823,0,nonDRNA
0.449,0.415,0.294,2.5,-0.011594,0.003051,25,1.265823,2.5,1.265823,0,0,nonDRNA
0.448,0.43,0.307,2.5,-0.01084,5.88E-04,26.25,0,2.5,0,0,0,nonDRNA
0.474,0.445,0.224,2.5,-0.005723,0.00121,27.5,0,2.5,0,0,1.265823,nonDRNA
0.363,0.462,0.289,2.5,-0.01062,6.23E-04,18.75,0,2.5,0,0,0,nonDRNA
0.419,0.513,0.242,2.5,0.003718,2.75E-04,32.5,0,2.5,0,0,0,nonDRNA
0.454,0.467,0.263,2.5,0.001887,6.63E-04,15,0,2.5,0,0,0,nonDRNA
0.483,0.525,0.183,2.5,0.013299,0.002641,21.25,0,2.5,0,0,0,nonDRNA
0.475,0.45,0.218,2.5,0.005123,0.003499,31.25,2.531646,2.5,0,0,1.265823,nonDRNA
0.49,0.401,0.22,2.5,-0.002726,2.48E-04,18.75,0,2.5,1.265823,0,0,nonDRNA
0.485,0.396,0.228,2.5,-0.001139,2.51E-04,18.75,0,2.5,1.265823,0,0,nonDRNA
0.435,0.366,0.304,2.5,-0.001355,0.001805,25,0,2.5,0,0,0,nonDRNA
0.421,0.386,0.297,2.5,0.005281,0.001568,22.5,0,2.5,0,0,0,nonDRNA
0.426,0.431,0.271,2.5,-0.002881,0.001201,17.5,0,2.5,0,0,0,nonDRNA
0.404,0.421,0.27,2.5,0.002493,6.69E-04,33.75,0,2.5,0,0,0,nonDRNA
0.474,0.478,0.244,2.5,-0.001462,0.001202,25,0,2.5,0,0,0,nonDRNA
0.447,0.5,0.193,2.5,-0.003747,0.002347,15,0,2.5,0,0,1.265823,nonDRNA
0.44,0.432,0.263,2.5,0.003954,0.001083,21.25,0,2.5,0,0,0,nonDRNA
0.495,0.461,0.185,2.5,-0.00146,0.001225,35,0,2.5,0,0,0,nonDRNA
0.379,0.354,0.298,2.5,-6.23E-04,0.001203,35,0,2.5,0,0,1.265823,nonDRNA
0.443,0.46,0.249,2.5,0.001276,8.50E-04,27.5,0,2.5,0,0,0,nonDRNA
0.382,0.454,0.24,2.5,0.002842,0.001885,21.25,2.531646,2.5,0,0,0,nonDRNA
0.457,0.468,0.261,2.5,-0.005461,0.001722,23.75,0,2.5,0,0,0,nonDRNA
0.503,0.336,0.184,2.5,0.010076,0.004723,28.75,1.265823,2.5,0,0,0,nonDRNA
0.436,0.456,0.204,2.5,0.008835,0.001657,21.25,0,2.5,0,0,0,nonDRNA
0.432,0.432,0.194,2.5,0.007488,0.001307,20,0,2.5,0,0,1.265823,nonDRNA
0.387,0.472,0.243,2.5,0.005547,7.47E-04,26.25,0,2.5,0,0,0,nonDRNA
0.478,0.326,0.222,2.5,-0.003565,0.004131,32.5,3.797468,2.5,0,0,1.265823,nonDRNA
0.486,0.434,0.228,2.5,0.004344,0.001756,26.25,0,2.5,0,0,1.265823,nonDRNA
0.515,0.357,0.279,2.5,0.004881,0.002903,27.5,3.797468,2.5,0,0,1.265823,nonDRNA
0.394,0.46,0.246,2.5,0.003277,0.001391,37.5,0,2.5,0,0,0,nonDRNA
0.491,0.482,0.211,2.5,0.00366,2.97E-04,22.5,0,2.5,0,0,0,nonDRNA
0.483,0.462,0.229,2.5,-0.002391,5.17E-04,30,0,2.5,0,0,0,nonDRNA
0.405,0.447,0.299,2.5,0.00613,0.001151,20,0,2.5,0,0,0,nonDRNA
0.421,0.442,0.249,2.5,0.003435,6.28E-04,27.5,0,2.5,0,0,0,nonDRNA
0.474,0.415,0.27,2.5,0.002885,0.003302,41.25,2.531646,2.5,0,0,0,nonDRNA
0.467,0.523,0.203,2.5,0.003491,5.96E-04,27.5,0,2.5,0,0,2.531646,nonDRNA
0.527,0.445,0.225,2.5,0.005443,2.64E-04,20,0,2.5,0,0,0,nonDRNA
0.369,0.41,0.269,2.5,0.004776,8.69E-04,15,0,2.5,0,0,0,nonDRNA
0.492,0.511,0.195,2.5,1.19E-04,8.94E-04,13.75,0,2.5,0,0,0,nonDRNA
0.505,0.414,0.189,2.5,-0.006012,0.002317,30,0,2.5,0,0,1.265823,nonDRNA
0.448,0.367,0.26,2.5,-0.001108,0.001268,23.75,0,2.5,0,0,0,nonDRNA
0.472,0.433,0.289,2.5,0.008691,6.91E-04,23.75,0,2.5,0,0,0,nonDRNA
0.462,0.368,0.308,2.5,-0.006443,0.001084,21.25,0,2.5,0,0,0,nonDRNA
0.517,0.415,0.254,2.5,0.004882,6.30E-04,21.25,0,2.5,0,0,0,nonDRNA
0.401,0.543,0.266,2.5,0.005819,3.22E-04,32.5,0,2.5,0,0,0,nonDRNA
0.447,0.418,0.253,2.5,0.00653,0.001988,20,0,2.5,0,0,0,nonDRNA
0.423,0.463,0.179,2.5,-0.005826,7.74E-04,22.5,1.265823,2.5,0,0,0,nonDRNA
0.432,0.36,0.272,2.5,-0.004547,7.21E-04,18.75,0,2.5,0,0,0,nonDRNA
0.527,0.473,0.222,2.5,0.008421,5.96E-04,28.75,0,2.5,0,0,0,nonDRNA
0.45,0.379,0.265,2.5,0.006241,0.001534,21.25,0,2.5,0,0,0,nonDRNA
0.535,0.354,0.222,2.5,0.002001,0.001726,30,0,2.5,0,0,1.265823,nonDRNA
0.388,0.431,0.251,2.5,-0.003827,0.00108,31.25,0,2.5,0,0,1.265823,nonDRNA
0.501,0.414,0.247,2.5,0.001209,8.05E-04,36.25,0,2.5,0,0,0,nonDRNA
0.44,0.411,0.33,2.5,0.006084,0.003539,16.25,1.265823,2.5,0,0,0,nonDRNA
0.505,0.35,0.251,2.5,-0.009353,0.002549,16.25,0,2.5,0,0,1.265823,nonDRNA
0.522,0.522,0.19,2.5,0.003891,0,35,0,2.5,0,0,0,nonDRNA
0.504,0.504,0.223,2.5,-0.01113,2.86E-04,23.75,0,2.5,0,0,0,nonDRNA
0.395,0.562,0.235,2.5,0.002594,2.96E-04,50,0,2.5,0,0,1.265823,nonDRNA
0.429,0.404,0.269,2.5,0.013158,0.001296,25,0,2.5,0,0,1.265823,nonDRNA
0.459,0.486,0.27,5.405405,-0.018565,0,18.918919,0,5.405405,0,0,0,nonDRNA
0.327,0.416,0.332,2.5,5.57E-04,0.001298,22.5,1.265823,2.5,0,0,0,nonDRNA
0.456,0.401,0.233,2.5,0.012363,6.14E-04,21.25,0,2.5,0,0,0,nonDRNA
0.479,0.368,0.319,2.5,0.011944,3.69E-04,30,0,2.5,0,0,0,nonDRNA
0.387,0.457,0.241,2.5,-0.007498,3.16E-04,12.5,0,2.5,0,1.265823,0,nonDRNA
0.42,0.469,0.225,2.5,-0.003591,0.001228,13.75,0,2.5,0,0,0,nonDRNA
0.468,0.383,0.276,2.5,-0.001553,0.001531,32.5,0,2.5,1.265823,0,1.265823,nonDRNA
0.496,0.382,0.257,2.5,0.001348,0.003299,18.75,5.063291,2.5,0,0,0,nonDRNA
0.4,0.549,0.242,2.5,-0.004823,9.49E-04,18.75,1.265823,2.5,1.265823,0,1.265823,nonDRNA
0.465,0.302,0.326,2.5,2.14E-04,0.001957,31.25,2.531646,2.5,0,0,0,nonDRNA
0.387,0.414,0.283,2.5,0.008959,0,12.5,0,2.5,0,0,0,nonDRNA
0.502,0.432,0.277,2.5,-0.005945,9.75E-04,35,0,2.5,0,0,0,nonDRNA
0.465,0.378,0.234,2.5,-0.001133,0.002239,25,2.531646,2.5,0,0,0,nonDRNA
0.417,0.438,0.223,2.5,-0.008197,0.003761,32.5,3.797468,2.5,0,0,0,nonDRNA
0.49,0.396,0.245,2.5,-0.001855,0.002174,32.5,0,2.5,0,0,1.265823,nonDRNA
0.422,0.582,0.237,2.5,0.008759,6.96E-04,21.25,0,2.5,0,2.531646,0,nonDRNA
0.414,0.38,0.27,2.5,-0.007051,0.002003,17.5,1.265823,2.5,0,0,0,nonDRNA
0.476,0.484,0.188,2.5,-0.004166,0.002832,21.25,1.265823,2.5,0,0,1.265823,nonDRNA
0.477,0.346,0.269,2.5,0.007485,0.003041,15,1.265823,2.5,0,0,0,nonDRNA
0.508,0.422,0.238,2.5,-0.003863,6.00E-04,28.75,0,2.5,0,0,0,nonDRNA
0.463,0.426,0.225,2.5,0.007762,0.001654,15,0,2.5,0,0,1.265823,nonDRNA
0.378,0.468,0.21,2.5,-0.011913,0.001423,21.25,0,2.5,0,0,0,nonDRNA
0.459,0.465,0.22,2.5,0.012271,9.77E-04,42.5,0,2.5,0,0,0,nonDRNA
0.432,0.368,0.265,2.5,-7.55E-04,0.001548,17.5,1.265823,2.5,0,0,1.265823,nonDRNA
0.457,0.386,0.225,2.5,0.005793,0.0033,25,2.531646,2.5,0,1.265823,0,nonDRNA
0.521,0.358,0.186,2.5,-0.006599,0.001267,21.25,0,2.5,0,0,2.531646,nonDRNA
0.457,0.397,0.249,2.5,-0.00395,9.77E-04,17.5,0,2.5,0,0,1.265823,nonDRNA
0.485,0.419,0.261,2.5,-0.003056,9.71E-04,18.75,0,2.5,0,0,0,nonDRNA
0.513,0.492,0.216,2.5,-0.01247,6.72E-04,26.25,0,2.5,0,0,1.265823,nonDRNA
0.476,0.417,0.224,2.5,-0.00259,5.34E-04,27.5,0,2.5,0,0,0,nonDRNA
0.482,0.409,0.222,2.5,-0.00503,9.19E-04,26.25,0,2.5,0,0,0,nonDRNA
0.36,0.412,0.281,2.5,-0.001446,7.91E-04,16.25,0,2.5,0,0,0,nonDRNA
0.393,0.489,0.268,2.5,3.99E-04,0,35,0,2.5,0,0,0,nonDRNA
0.456,0.406,0.253,2.5,0.002917,0.003095,26.25,1.265823,2.5,0,1.265823,0,nonDRNA
0.455,0.404,0.252,2.5,0.002917,0.003095,26.25,1.265823,2.5,0,1.265823,0,nonDRNA
0.447,0.393,0.269,2.5,0.001443,0.003137,26.25,1.265823,2.5,0,1.265823,0,nonDRNA
0.449,0.395,0.266,2.5,0.001443,0.003137,26.25,1.265823,2.5,0,1.265823,0,nonDRNA
0.491,0.345,0.241,2.5,-0.003606,0.001537,33.75,0,2.5,0,0,0,nonDRNA
0.457,0.416,0.201,2.5,0.005346,0.002131,27.5,1.265823,2.5,0,0,0,nonDRNA
0.456,0.449,0.225,2.5,8.83E-04,0.002031,17.5,0,2.5,0,0,0,nonDRNA
0.344,0.444,0.304,2.5,0.004644,5.85E-04,18.75,0,2.5,0,0,0,nonDRNA
0.406,0.478,0.245,2.5,0.00265,8.67E-04,21.25,0,2.5,0,0,1.265823,nonDRNA
0.434,0.49,0.245,2.5,-0.004916,0,21.25,0,2.5,0,0,0,nonDRNA
0.451,0.451,0.268,2.816901,0.007802,3.21E-04,28.169014,0,2.816901,0,0,0,nonDRNA
0.41,0.419,0.258,2.5,0.006688,0.001022,22.5,0,2.5,0,0,0,nonDRNA
0.471,0.382,0.193,2.5,0.002659,0.002819,23.75,6.329114,2.5,0,0,0,nonDRNA
0.423,0.384,0.288,2.5,0.008519,0.001115,28.75,0,2.5,0,0,0,nonDRNA
0.485,0.551,0.185,2.5,-0.009393,0.001363,22.5,1.265823,2.5,0,0,0,nonDRNA
0.54,0.381,0.301,2.5,-0.006467,0.001638,26.25,0,2.5,0,0,0,nonDRNA
0.361,0.436,0.278,2.5,0.004504,0,23.75,0,2.5,0,0,0,nonDRNA
0.474,0.526,0.219,2.5,0.003136,6.70E-04,28.75,0,2.5,0,0,0,nonDRNA
0.462,0.423,0.252,2.5,-0.006659,0.001529,15,0,2.5,0,0,1.265823,nonDRNA
0.417,0.314,0.377,2.5,0.006214,2.51E-04,22.5,0,2.5,0,0,0,nonDRNA
0.455,0.38,0.275,2.5,-0.003765,8.58E-04,16.25,0,2.5,0,0,0,nonDRNA
0.416,0.43,0.262,2.5,-0.001968,0.001601,23.75,0,2.5,0,0,0,nonDRNA
0.518,0.482,0.212,2.5,-4.35E-04,0.001352,20,0,2.5,0,0,0,nonDRNA
0.423,0.501,0.178,2.5,-0.010656,0.001159,21.25,1.265823,2.5,0,0,0,nonDRNA
0.51,0.499,0.233,2.5,-1.39E-04,2.79E-04,20,0,2.5,0,0,0,nonDRNA
0.432,0.426,0.285,2.5,0.004716,2.62E-04,20,0,2.5,0,0,0,nonDRNA
0.421,0.416,0.228,2.5,0.014829,2.94E-04,22.5,0,2.5,0,0,1.265823,nonDRNA
0.402,0.477,0.25,2.5,0.002903,0.002069,40,1.265823,2.5,0,0,0,nonDRNA
0.414,0.445,0.252,2.5,0.007548,0,20,0,2.5,0,0,0,nonDRNA
0.447,0.439,0.254,2.5,-0.009569,0.002061,22.5,0,2.5,0,0,0,nonDRNA
0.455,0.42,0.249,2.5,0.003689,0.00119,12.5,0,2.5,0,0,0,nonDRNA
0.48,0.434,0.255,2.5,-0.020308,0.002082,17.5,1.265823,2.5,0,0,1.265823,nonDRNA
0.435,0.476,0.202,2.5,0.005632,0.002871,18.75,1.265823,2.5,0,0,2.531646,nonDRNA
0.456,0.458,0.254,2.5,-0.0014,2.91E-04,11.25,0,2.5,0,0,0,nonDRNA
0.44,0.473,0.255,2.5,0.002211,5.96E-04,27.5,0,2.5,0,0,0,nonDRNA
0.43,0.437,0.241,2.5,-0.013122,0.002268,33.75,1.265823,2.5,0,0,0,nonDRNA
0.401,0.454,0.266,2.5,0.010578,0.001173,36.25,0,2.5,0,0,0,nonDRNA
0.393,0.448,0.267,2.5,0.010578,0.001173,36.25,0,2.5,0,0,0,nonDRNA
0.48,0.441,0.239,2.5,-0.006869,0.001101,23.75,0,2.5,1.265823,0,0,nonDRNA
0.463,0.389,0.216,2.5,0.002583,0.002219,15,0,2.5,0,0,1.265823,nonDRNA
0.447,0.411,0.256,2.5,0.003586,0.002358,41.25,0,2.5,1.265823,0,0,nonDRNA
0.487,0.299,0.289,2.5,-0.002858,0.003587,26.25,3.797468,2.5,0,0,0,nonDRNA
0.421,0.453,0.261,2.5,7.35E-04,0,37.5,0,2.5,1.265823,0,0,nonDRNA
0.437,0.331,0.335,2.5,0.00791,5.76E-04,27.5,0,2.5,0,0,0,nonDRNA
0.433,0.433,0.276,2.5,-0.007566,0.001854,36.25,2.531646,2.5,0,0,0,nonDRNA
0.477,0.501,0.258,2.5,0.002653,0,28.75,0,2.5,0,0,0,nonDRNA
0.451,0.461,0.239,2.5,3.22E-04,0.001481,26.25,0,2.5,0,0,0,nonDRNA
0.445,0.339,0.321,2.5,0.00403,0.001552,25,0,2.5,0,0,1.265823,nonDRNA
0.391,0.395,0.321,2.5,-0.007814,0.002251,28.75,1.265823,2.5,0,0,0,nonDRNA
0.514,0.508,0.184,2.5,-0.008423,0.001802,25,0,2.5,0,0,0,nonDRNA
0.499,0.464,0.233,2.5,-0.003865,6.39E-04,11.25,0,2.5,0,0,0,nonDRNA
0.448,0.464,0.243,2.5,0.00246,0.001266,21.25,0,2.5,0,0,0,nonDRNA
0.463,0.441,0.244,2.5,-0.00128,8.72E-04,20,0,2.5,0,0,0,nonDRNA
0.4,0.373,0.326,2.5,0.001993,0.001696,21.25,0,2.5,0,0,0,nonDRNA
0.435,0.406,0.267,2.5,0.002586,2.28E-04,32.5,0,2.5,0,0,0,nonDRNA
0.457,0.481,0.211,2.5,-0.003894,0.001573,36.25,0,2.5,0,0,1.265823,nonDRNA
0.368,0.526,0.211,5.263158,-0.03117,0.005537,13.157895,0,5.263158,0,0,0,nonDRNA
0.435,0.418,0.277,2.5,-2.74E-04,0.002032,31.25,0,2.5,0,0,0,nonDRNA
0.449,0.392,0.31,2.5,0.005885,0.001997,13.75,0,2.5,0,0,0,nonDRNA
0.434,0.448,0.231,2.5,0.002028,0.00214,32.5,0,2.5,0,0,0,nonDRNA
0.378,0.4,0.284,2.5,0.001285,0.001265,23.75,0,2.5,0,0,1.265823,nonDRNA
0.522,0.326,0.283,2.5,0.001064,0.003018,17.5,1.265823,2.5,0,0,0,nonDRNA
0.435,0.444,0.258,2.5,0.001294,0.001924,17.5,1.265823,2.5,0,0,1.265823,nonDRNA
